,Lower 80,Mean,Upper 80
AK,0.860224947859187,1.1020036188502471,1.3014034569353836
AL,0.822923323130686,1.0752918925786012,1.263919120632626
AR,0.7992689287693797,1.04596185582679,1.256834567473838
AZ,0.9350754308533572,1.150788190493775,1.388107003081041
CA,0.8641585533640426,1.118361705510728,1.307300044824579
CO,0.8057883997698274,1.0000243151012826,1.1810203679568867
CT,0.8386323201732925,1.1002861063413398,1.3602098277969363
DC,0.7896303027126184,1.0289174400119243,1.2065524027039465
DE,0.8102139111934811,1.0727479972885885,1.2632510160705617
FL,0.7909650137715092,1.0023116548565243,1.172114579491576
GA,0.7496269430379232,0.9993758229220552,1.1688206121001457
HI,0.5900770694618998,1.0647998733980757,1.3690912793011796
IA,0.7172756284366583,0.9448372794696906,1.1122064142360248
ID,0.7957573692234429,1.0143867483576483,1.208994321853096
IL,0.7021803586089056,0.9245150171732778,1.0735647321517228
IN,0.7992601778759634,1.0266584429811192,1.2132526822325516
KS,0.8164948258779978,1.036842791304485,1.267669788493003
KY,0.8735299205297494,1.1077981237693932,1.3090943039435392
LA,0.9393093795183584,1.2077197098884955,1.3872473596519888
MA,0.9100025929860664,1.1794597338847208,1.391846611192064
MD,0.9374853148930468,1.1845366078002322,1.4052663566044303
ME,0.8921773819434475,1.205957633272022,1.4192541277583846
MI,0.9060487438170152,1.180354874206073,1.4059956391667865
MN,0.9052003081725121,1.1493722928279928,1.3882294865161615
MO,0.9230006234991524,1.17630960048864,1.4000104338798722
MS,0.6694145301215175,0.8989661201392158,1.0892507313224138
MT,0.7958816030523651,1.0527480839066583,1.250985356357305
NC,0.8788223245504231,1.1152214316645328,1.3376727226316096
ND,0.7869105885917923,1.0045783677026072,1.1892505871021857
NE,0.8586825614277401,1.0844649880612272,1.3051181790209918
NH,1.0206332039324622,1.3042540919753025,1.5574853646733382
NJ,0.9408015719668796,1.2371010080393623,1.4614042070051978
NM,0.9612870969714898,1.1970033331984529,1.4545201273306445
NV,0.9521484809312766,1.2515274159860186,1.4742846164610448
NY,0.909713333325062,1.1482667914677438,1.3408911621305517
OH,0.9218615179377831,1.141475414994215,1.3685402733868632
OK,0.8857021425601904,1.1315899671802336,1.3753857272994467
OR,0.9019365175732856,1.1559272622747296,1.3890421544586062
PA,0.9734215060840968,1.197312269978806,1.4439095806250322
RI,0.9220816518709496,1.1854540830387554,1.3963512802717921
SC,0.8066746581124299,1.0312130127591292,1.235807685063106
SD,0.7761598171142754,0.9647962438869342,1.1745813872683102
TN,0.9194181446555688,1.1435920911233848,1.3560308932529812
TX,0.8060561140394238,1.0527377672886842,1.2553301185666843
USA,0.7737983905729913,0.992938468677352,1.1638363034363657
UT,0.8319527426064854,1.0792565167164876,1.2614559864286332
VA,0.8365451236401453,1.1168519482073769,1.3040860283979123
VT,1.0548608771944774,1.3802163122533917,1.6370237473704174
WA,0.9610433160771712,1.256293380257306,1.469954910796902
WI,0.7939861707014878,1.0395525277338844,1.2187905956302465
WV,0.8222158067541236,1.1206487962859404,1.3172682196114096
WY,0.8305902070249714,1.0977616039260054,1.3310832715464984
